ID,Date,Site,Round,Coll1,Coll2,Coll3,EnteredBy,Validation,Status,ValidationNotes,Subplot,Quadrat,Coord1,Coord2,Bare%,Litter%,Rock%,Gram%,Forb%,L_Depth,V_Height,ACMI2,ASTU,BOCU,COTI3,CHFA2,COLA5,DRAM,ECPU,ELVI3,GAPU,HEAN2,HEMO2,MOFI,MOPU,OLRI,PAAN,PYTE,RAPI,RUHI2,SCSC,SYLA3,SYPI2,TRFL2,VEHA2,VEVI3,CHMA15,CHHY3,DIVI3,ECPR,MOVE,POAM13,POAM13_closed,POPR4,SEOB4,closed_bristled_ipomoea,UNK OAT,UNK_oxalis_closed,BOER,OELA,JATA_closed,UNK_oxalis,UNK_pink_rubiaceae,OELA_closed,UNK_pigweed,LEDI4,LEVI3,POOL,RARA2,PHAN5,Notes,UNK_purple_vineweed,WAMA,UNK_everlasting,WAMA_closed,CUAN,UNK_small_white_vineweed,UNK_nodding_spurge,UNK horseweed,UNK_O_dillenii,UNK_euphorbia,UNK_E_hyssopifolia,UNK_O_dillenii_closed,IPLA,IPLA_closed,CRGL2_male,CRGL2_female,RISC,UNK_cudweed,SOCA3,PHUR,UNK_small_white_lobelia,UNK_toadflax,CRGL2,GECA5,KRCE,RASA,UNK_dock,UNK_evergreen_cudweed,SECE,SIRO5,TRDU2,UNK_little_white_vineweed,UNK_little_white_vineweed_closed,UNK_hairy_vineweed_closed,UNK_amaranth,UNK_white_bindweed,UNK_white_bindweed_closed,UNK_hairy_vineweed,SISP_closed,UNK_purple_vineweed_closed,UNK_madder,UNK_white_vineweed_closed,UNK_small_white_vineweed_closed,JATA,VEBR2,UNK narrowleaf cudweed,SISP,UNK yellow oxalis,GLMA4,UNK pink clover,GACO11,UNK pennycress,OLCO,UNK three lobed vineweed,UNK goldenrod,UNK dogfennel,UNK alt yellow aster,UNK small horseweed,RISC_closed,UNK_white_star_closed,UNK_white_star,Gratiola_floridana/neglecta,UNK_bluestem,CUCA4,CUME,UNK_blue_vined_weed,UNK_blue_vined_weed_closed,UNK_purple_top,UNK_crotalaria,UNK_bristly_ipomoea_closed,TRRE3,TRBI2
2435,4/25/2022,BEU1,a,ZJB,,,ZM,Error,Clean,Litter and veg height flipped,1,1,13,2,70,20,10,1,5,5,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2436,4/25/2022,BEU1,a,ZJB,,,ZM,Correct,Clean,,1,2,1,1,70,30,5,1,5,2.8,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2437,4/25/2022,BEU1,a,ZJB,,,ZM,Correct,Clean,,1,3,4,7,60,40,5,1,5,2.5,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2438,4/25/2022,BEU1,a,ZJB,,,ZM,Correct,Clean,,1,4,2,3,50,40,10,1,5,5.7,14.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2439,4/25/2022,BEU1,a,ZJB,,,ZM,Correct,Clean,,1,5,6,6,70,30,5,1,5,3.5,15.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2440,4/25/2022,BEU1,a,ZJB,,,ZM,Correct,Clean,,2,1,13,2,70,30,10,5,5,1.9,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2441,4/25/2022,BEU1,a,ZJB,,,ZM,Correct,Clean,,2,2,1,1,40,40,20,5,5,3.5,11.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442,4/25/2022,BEU1,a,ZJB,,,ZM,Correct,Clean,,2,3,4,7,60,30,20,1,5,3.8,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443,4/25/2022,BEU1,a,ZJB,,,ZM,Error,Clean,Litter depth and veg height flipped. Missing decimal in litter depth.,2,4,2,3,70,20,10,1,5,2.2,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2444,4/25/2022,BEU1,a,ZJB,,,ZM,Correct,Clean,,2,5,6,6,70,10,30,1,5,2.5,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
